"Salary_Cap_Perc","pts","bird_rights","blk_pct","rookie_contract","US_Player","tov","efg_pct","ft_pct","pos_SG"
0.010961176,5,0,1.9,0,1,0.8,0.554,0.752,0
0.034215328,6.6,0,1.2,0,1,1.2,0.507,0.74,0
0.027464789,4.6,0,5.2,0,0,0.8,0.45,0.655,0
0.024660706,8.5,0,4,0,0,1.4,0.551,0.73,0
0.027843361,10.3,0,3.3,0,0,1.9,0.48,0.717,0
0.039388025,13.6,0,2.8,0,0,2.5,0.473,0.751,0
0.017627294,9.4,0,1.2,1,1,3.4,0.408,0.704,0
0.019997517,7.8,0,0.6,1,1,2.6,0.437,0.714,0
0.019653285,8.3,0,0.9,1,1,2.1,0.518,0.731,0
0.049642817,4.6,0,1,1,1,1.4,0.419,0.794,0
0.044577882,9.3,0,0.8,1,1,1.4,0.545,0.769,0
0.050326041,10.7,0,0.9,1,1,1.7,0.467,0.806,0
0.058803307,17.3,0,0.8,1,1,2.4,0.449,0.833,1
0.008369776,1.2,0,0,1,1,0,0.278,1,0
0.028662353,8.2,0,1.1,0,1,1.2,0.506,0.8,0
0.029509859,8.1,0,1.2,0,1,1.2,0.467,0.816,0
0.026368941,10.7,0,1.3,0,1,1.7,0.422,0.793,0
0.042800179,10.8,0,0.4,0,1,1.7,0.457,0.833,0
0.112157847,13.7,0,1.2,0,1,1.4,0.551,0.83,1
0.008677659,2.5,0,0.4,0,1,0.7,0.435,1,0
0.012857641,6.7,0,0.9,0,1,1.5,0.462,0.852,0
0.039604678,4,0,1.3,1,1,1.1,0.5,0.552,0
0.039106752,5.7,0,1.1,1,1,1.3,0.383,0.614,0
0.007830988,6.4,0,1.2,0,1,0.8,0.461,0.74,0
0.02855653,5.5,0,1.1,0,1,0.9,0.442,0.71,0
0.028512774,6,0,0.9,0,1,1,0.498,0.718,0
0.039889599,9.6,0,0.4,0,1,1.6,0.429,0.786,0
0.025115294,4.5,0,2.4,1,1,0.9,0.423,0.701,0
0.008928704,2,0,0,0,1,2,1,0,0
0.010961176,2.6,0,0.8,0,1,0.8,0.526,1,0
0.008369776,3.5,0,0.3,1,1,0.5,0.484,0.833,0
0.057069176,14.4,0,0.8,1,1,2,0.463,0.671,1
0.06474535,15.6,0,0.6,1,1,2.2,0.463,0.764,1
0.063624088,18.7,0,1,1,1,2.5,0.468,0.684,1
0.043203529,8.1,0,0.3,1,1,1.9,0.453,0.807,0
0.044481127,19.7,0,0.3,1,1,2.9,0.481,0.846,1
0.039749647,19.3,0,0.3,1,1,2.3,0.5,0.835,1
0.053485982,17.2,0,0.3,1,1,3.1,0.498,0.887,0
0.190085151,16.8,0,0.4,0,1,2.8,0.478,0.827,0
0.025228235,2.3,0,0.8,1,1,0.1,0.565,0.68,0
0.025974085,3.5,0,1.7,1,1,0.7,0.474,0.516,0
0.023209412,5.7,0,1.5,1,1,1,0.452,0.61,0
0.091240876,6.1,0,1.1,0,1,0.7,0.544,0.669,0
0.030644384,1.6,0,0.6,0,0,0.5,0.26,0.759,0
