"Salary_Cap_Perc","fg","rookie_contract","bird_rights","age","fta","blk","g","US_Player","maximum_contract","ts_pct","drb","trb","pf","ast","pos_PG","usg_pct","bpm"
0.14416963,5.5,0,0,30,4.1,0.6,25,0,0,0.529,8.9,14.4,2.7,3.4,0,18.7,3.7
0.153996558,3.5,0,0,31,2.1,0.6,65,0,0,0.527,6.8,9.7,2.5,2.2,0,14.6,1.4
0.051993068,5.9,0,0,23,2.9,0.9,81,1,0,0.519,4.3,6.3,2.7,2.1,0,25.8,0.6
0.1109862,3.6,0,0,25,1.9,0.7,26,1,0,0.415,4.2,5.8,2.1,1.1,0,21.7,-4.8
0.023442867,4.4,0,0,27,3,0.5,73,1,0,0.532,3.7,5.3,2.3,1.5,0,25.6,0
0.04059541,3.5,1,0,19,2.7,1.6,60,1,0,0.578,4.8,7.6,2.4,0.5,0,17.2,2.5
0.041963905,5.9,1,0,20,4,1.6,81,1,0,0.599,7.8,13.2,3.4,0.4,0,16.7,1.4
0.211438475,6,0,0,26,5.2,0.7,82,1,0,0.535,5.5,6.5,1.8,5.8,0,21.8,2.4
0.212687789,5,0,0,27,4.5,0.6,67,1,0,0.53,4.9,5.8,1.6,6.3,0,19.2,3.2
0.233129178,4.6,0,0,28,3.2,0.5,62,1,0,0.537,5.2,6.1,1.5,5.5,0,17.7,4
0.257877645,5,0,0,29,3.4,0.7,80,1,0,0.52,4.3,5.3,1.6,5.4,0,18.8,2.6
0.219305578,3.5,0,0,30,2.1,0.3,63,1,0,0.57,3.8,4.7,1.6,4.2,0,13.3,2.3
0.12523713,4.8,0,0,34,3.6,0.1,81,1,0,0.529,2.5,3.7,2.1,7,1,20.6,1.6
0.134513955,3.7,0,0,35,2.6,0.1,66,1,0,0.51,2.5,3.3,2,6.7,0,19.8,-0.3
0.086141548,3.7,0,1,36,2.4,0.1,82,1,0,0.548,2.2,2.9,1.9,5.9,1,17.9,0.9
0.085209359,1.8,0,1,37,1.3,0.2,58,1,0,0.534,1.8,2.2,1.3,3.4,0,14.5,0.8
0.018930793,0.8,1,0,22,0.3,0.3,40,1,0,0.518,1.5,2.4,1.9,0.4,0,10.1,-2.4
0.113128094,6.7,1,0,24,2.9,1.4,80,0,0,0.552,4.9,6.2,2.7,1.2,0,22.3,-0.8
0.146440631,8,0,1,25,5.3,0.7,66,0,0,0.533,4.1,5.2,2.4,1.8,0,28.2,-1.4
0.172283096,4.9,0,1,27,2.2,0.7,35,0,0,0.482,2.9,3.7,1.8,1.1,0,23.8,-2.7
0.202159205,5.3,0,1,28,2.4,1.2,42,0,0,0.51,3.6,5.3,2.4,1.1,0,22.4,-2.3
0.307060161,4,0,0,29,4.2,1.2,64,0,0,0.567,3.5,5.1,1.8,3,0,17.8,2.2
0.168481652,4.4,0,0,31,3.9,1,64,0,0,0.59,4.1,5.7,1.3,2.8,0,17.4,3.5
0.054244278,1.8,0,0,32,2.6,0.4,45,0,0,0.532,2,3.2,1.4,1.6,0,14.6,-0.4
0.11801392,2.2,0,0,31,1.1,0.3,54,0,0,0.538,2.8,3.1,1.9,0.8,0,17.4,-2.5
0.206739715,5.1,0,1,27,1.9,2,12,0,0,0.465,6.5,8.3,3,2.6,0,20.6,0.5
0.223968024,2.6,0,1,28,1.2,1.7,32,0,0,0.463,5.5,7.7,2.7,2.1,0,13.4,1.4
0.238586206,3.5,0,1,29,1,1.8,67,0,0,0.61,7.3,10,3.1,1.7,0,12.4,3
0.217105685,6,0,0,22,4,1.4,65,1,0,0.608,5.6,8.3,3,1,0,20.8,1.5
0.236027841,4.4,0,0,23,3.9,2,54,1,0,0.606,6.3,9.4,2.6,1.4,0,17.6,3.2
0.256701812,7.4,0,0,24,5.6,1.9,60,1,0,0.594,8.6,11.8,1.7,1.4,0,23.8,2.9
0.025256054,2.4,1,0,24,0.8,0.3,76,0,0,0.489,2.7,3.4,2,0.3,0,19.3,-5.1
0.155979203,2.5,0,0,23,0.8,1.3,33,0,0,0.561,5.9,7.8,3.5,1.7,0,10.1,-0.2
0.155054786,2.4,0,0,24,0.5,0.9,59,0,0,0.526,4.8,7.2,3.4,1,0,10.6,-2.3
0.155054786,0.8,0,0,25,0.2,1,47,0,0,0.581,2.8,3.7,2.7,0.3,0,5.1,-2.3
0.155054786,0.2,0,0,26,0.2,0.8,53,0,0,0.449,2.2,2.9,1.9,0.3,0,3.7,-1
0.090735698,1.5,1,0,20,1.3,0.2,52,0,0,0.425,2,3,1.8,0.3,0,20.3,-7.4
0.022642201,1.4,0,0,34,0.2,0.2,54,1,0,0.482,1.3,1.6,1.3,3,1,12.6,-0.8
0.023295793,0.7,0,0,36,0.4,0.2,24,1,0,0.409,1.2,1.4,0.8,1.4,1,16.8,-3
0.088627248,5.5,1,0,19,3.5,1.8,64,1,0,0.559,5.6,8.2,2.5,1,0,21.8,2.5
0.068913238,4.4,0,0,26,1.7,0.1,62,1,0,0.531,1.5,2,1.4,1,0,21.6,-1.9
0.068913238,1.6,0,0,27,0.5,0,41,1,0,0.53,0.5,0.7,1,0.3,0,19.6,-1.8
0.017509228,3.1,0,0,28,1.1,0.2,76,1,0,0.57,1.5,1.8,1.3,0.8,0,19.4,-0.9
0.031846794,4.2,1,0,20,4.1,1.5,33,0,0,0.521,4.3,6.5,2.8,1.3,0,23.9,-0.6
0.033866033,3.1,1,0,21,2.2,0.6,40,0,0,0.505,2.9,4,1.6,0.8,0,25.8,-2.2
0.050155589,2.8,1,0,22,2.5,1,34,0,0,0.532,2.4,3.6,1.6,0.6,0,23.8,-0.8
0.028851234,1.4,0,0,23,1.2,0.5,39,0,0,0.534,1.7,2.4,1.1,0.3,0,22.5,-2.9
0.000900919,4.2,0,0,24,2.9,0.7,46,1,0,0.531,5.1,7,2.8,1.9,0,16.6,-1.6
0.037902281,2.2,0,0,25,2,0.4,65,1,0,0.585,3.1,4.5,2.2,1.3,0,13.1,0
0.015778582,1.3,0,0,27,0.8,0.2,62,1,0,0.531,2,2.5,1.1,0.5,0,13.2,-3.1
0.03657799,2.4,0,0,25,1.1,0.2,67,1,0,0.502,2.3,2.8,2,1.1,0,16.1,-3.3
0.017102198,0.1,0,0,26,0,0,7,1,0,0.125,0.1,0.4,0.4,0,0,12.6,-14.3
0.018139368,1.5,1,0,19,1.1,0.2,52,1,0,0.507,1.2,1.7,0.9,0.4,0,19.4,-3.2
0.008159396,1.2,1,0,21,0.6,0,38,1,0,0.497,0.7,0.9,0.8,1.2,1,25.1,-5.1
0.013131331,2.2,0,0,22,0.7,0,9,1,0,0.515,1.3,1.4,1,1.2,1,19.1,-1.7
